Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
5/4/22 1:42,5/5/22 0:06,UTC-05:00,5/4/22 1:42,5/4/22 6:46,51,16.5,294,304,134,62,98,10,574,85,97,FALSE
5/3/22 1:24,5/4/22 1:42,UTC-05:00,5/3/22 1:24,5/3/22 7:01,64,16.4,321,337,164,69,88,16,503,15,95,FALSE
5/2/22 0:43,5/3/22 1:24,UTC-05:00,5/2/22 0:43,5/2/22 9:01,95,16.5,472,494,280,60,132,22,498,6,96,FALSE
5/1/22 0:01,5/2/22 0:43,UTC-05:00,5/1/22 0:01,5/1/22 8:52,98,16.3,492,529,220,94,178,37,501,24,93,FALSE
4/30/22 1:56,5/1/22 0:01,UTC-05:00,4/30/22 1:56,4/30/22 10:47,92,16.2,480,517,262,71,147,37,522,40,93,FALSE
4/29/22 0:36,4/30/22 1:56,UTC-05:00,4/29/22 0:36,4/29/22 9:02,83,16.3,447,501,185,97,165,54,538,47,89,FALSE
4/28/22 0:08,4/29/22 0:36,UTC-05:00,4/28/22 0:08,4/28/22 8:29,80,16.5,485,497,262,74,149,12,607,111,97,FALSE
4/27/22 5:13,4/28/22 0:08,UTC-05:00,4/27/22 5:13,4/27/22 10:01,53,16.9,267,286,116,53,98,19,502,12,94,FALSE
4/26/22 0:01,4/27/22 5:13,UTC-05:00,4/26/22 0:01,4/26/22 8:23,96,16.5,472,499,218,105,149,27,490,0,94,FALSE
4/24/22 23:58,4/26/22 0:01,UTC-05:00,4/24/22 23:58,4/25/22 9:02,100,16.7,493,543,242,84,167,50,482,6,91,FALSE
4/24/22 1:14,4/24/22 23:58,UTC-05:00,4/24/22 1:14,4/24/22 10:19,98,16.6,513,541,226,107,180,28,521,21,94,FALSE
4/23/22 0:10,4/24/22 1:14,UTC-05:00,4/23/22 0:10,4/23/22 8:44,91,17.1,459,513,162,73,224,54,503,9,89,FALSE
