Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %
6/20/22 1:13,6/21/22 1:01,UTC-05:00,51,53,80,33.7,97.33,9.9,2395,170,65,6/20/22 1:13,6/20/22 6:14,53,16.9,275,301,103,57,115,26,515,0,91
6/18/22 23:36,6/20/22 1:13,UTC-05:00,67,54,78,33.89,96.45,15.8,3289,177,71,6/18/22 23:36,6/19/22 10:26,100,16.5,547,650,246,108,193,103,490,6,84
6/18/22 1:14,6/18/22 23:36,UTC-05:00,81,51,84,33.56,97.09,9.7,2235,163,67,6/18/22 1:14,6/18/22 10:46,98,16.6,517,569,259,104,154,52,530,52,90
6/17/22 1:15,6/18/22 1:14,UTC-05:00,71,52,77,33.1,96.33,7.1,2206,164,63,6/17/22 1:15,6/17/22 10:16,78,16.6,395,540,157,90,148,145,505,9,73
6/16/22 0:13,6/17/22 1:15,UTC-05:00,87,51,84,33.5,96.06,12.7,2726,176,65,6/16/22 0:13,6/16/22 9:08,97,16.8,474,534,158,108,208,60,490,6,88
6/15/22 0:21,6/16/22 0:13,UTC-05:00,97,52,92,33.6,96.03,9.8,2387,160,65,6/15/22 0:21,6/15/22 10:23,98,16.6,548,602,213,114,221,54,562,66,91
6/14/22 2:14,6/15/22 0:21,UTC-05:00,95,52,89,33.62,96.75,12.5,2527,152,71,6/14/22 2:14,6/14/22 9:53,78,16.8,426,453,177,65,184,27,547,66,95
6/13/22 2:40,6/14/22 2:14,UTC-05:00,54,57,58,33.93,97.09,8.1,2235,159,70,6/13/22 2:40,6/13/22 10:16,78,17.1,415,452,220,106,89,37,530,54,92
6/11/22 1:40,6/13/22 2:40,UTC-05:00,57,57,68,34.07,95.85,4.2,2849,123,70,6/11/22 1:40,6/11/22 10:22,82,17.1,483,521,157,109,217,38,591,92,92
6/10/22 1:01,6/11/22 1:40,UTC-05:00,53,56,69,33.93,95.25,13.3,2785,168,76,6/10/22 1:01,6/10/22 8:00,61,16.9,387,418,185,73,129,31,639,151,92
6/9/22 3:56,6/10/22 1:01,UTC-05:00,33,51,81,34.3,95.78,11,2200,166,70,6/9/22 3:56,6/9/22 7:22,36,16.6,197,206,99,38,60,9,548,59,96
6/8/22 3:18,6/9/22 3:56,UTC-05:00,62,54,67,33.83,97.18,11.1,2554,166,71,6/8/22 3:18,6/8/22 10:53,75,17.1,417,453,190,69,158,36,557,21,92
6/7/22 2:54,6/8/22 3:18,UTC-05:00,79,52,74,33.4,97.93,18.7,3966,181,78,6/7/22 2:54,6/7/22 11:04,93,17.4,452,489,227,99,126,37,485,0,92
