Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
3/10/22 0:53,3/11/22 0:28,UTC-06:00,3/10/22 15:50,3/10/22 18:05,135,Baseball,13.1,940,168,123,7,18,50,17,5,FALSE,,,
3/5/22 2:32,3/6/22 0:40,UTC-06:00,3/5/22 16:57,3/5/22 18:30,93,Baseball,12.1,643,181,123,7,22,46,16,3,FALSE,,,
3/3/22 0:01,3/4/22 0:04,UTC-06:00,3/3/22 15:51,3/3/22 16:30,38,Activity,5.9,151,154,126,0,6,36,9,0,FALSE,,,
3/2/22 0:28,3/3/22 0:01,UTC-06:00,3/2/22 17:47,3/2/22 18:56,69,Baseball,9.9,508,158,125,1,15,52,29,0,FALSE,,,
3/2/22 0:28,3/3/22 0:01,UTC-06:00,3/2/22 11:24,3/2/22 12:24,59,Activity,6.7,234,160,119,0,15,38,8,0,FALSE,,,
2/28/22 23:56,3/2/22 0:28,UTC-06:00,3/1/22 17:38,3/1/22 18:13,35,Weightlifting,7.1,243,162,123,2,18,57,19,1,FALSE,,,
2/24/22 23:59,2/26/22 0:26,UTC-06:00,2/25/22 15:22,2/25/22 16:21,58,Baseball,10.7,521,159,133,0,7,37,52,2,FALSE,,,
2/23/22 23:58,2/24/22 23:59,UTC-06:00,2/24/22 15:58,2/24/22 16:32,33,Activity,8.2,283,168,130,5,10,35,39,8,FALSE,,,
2/22/22 23:47,2/23/22 23:58,UTC-06:00,2/23/22 13:40,2/23/22 14:44,64,Activity,9.6,445,163,123,6,27,35,30,0,FALSE,,,
2/19/22 23:31,2/20/22 23:32,UTC-06:00,2/20/22 18:09,2/20/22 18:59,50,Activity,10.1,358,170,145,0,0,5,41,13,FALSE,,,
2/16/22 0:28,2/17/22 0:22,UTC-06:00,2/16/22 15:33,2/16/22 16:28,55,Baseball,11.2,516,166,135,0,9,32,46,11,FALSE,,,
2/14/22 1:18,2/15/22 0:07,UTC-06:00,2/14/22 9:13,2/14/22 10:13,59,Weightlifting,7.7,315,170,115,7,35,40,11,1,FALSE,,,
2/12/22 0:47,2/12/22 23:24,UTC-06:00,2/12/22 12:12,2/12/22 12:51,38,Activity,5.9,154,148,124,0,7,38,9,0,FALSE,,,
2/8/22 23:51,2/9/22 23:59,UTC-06:00,2/9/22 17:51,2/9/22 18:32,41,Activity,11.7,459,175,145,0,1,25,37,35,FALSE,,,
2/6/22 23:03,2/7/22 23:15,UTC-06:00,2/7/22 9:32,2/7/22 9:45,12,Weightlifting,5.2,96,156,127,0,13,59,27,0,FALSE,,,
2/5/22 1:10,2/5/22 23:55,UTC-06:00,2/5/22 14:09,2/5/22 15:36,87,Baseball,12.6,760,165,133,0,8,37,50,3,FALSE,,,
2/2/22 1:25,2/3/22 1:44,UTC-06:00,2/2/22 9:33,2/2/22 10:09,36,Weightlifting,5.7,166,148,110,19,30,45,3,0,FALSE,,,
2/1/22 0:42,2/2/22 1:25,UTC-06:00,2/1/22 16:37,2/1/22 17:45,68,Activity,9.8,498,154,125,2,18,50,29,0,FALSE,,,
2/1/22 0:42,2/2/22 1:25,UTC-06:00,2/1/22 12:16,2/1/22 12:51,34,Weightlifting,6.1,191,145,117,1,36,57,3,0,FALSE,,,
1/30/22 23:44,2/1/22 0:42,UTC-06:00,1/31/22 9:08,1/31/22 9:50,41,Weightlifting,8.8,357,169,132,0,6,43,47,2,FALSE,,,
1/30/22 0:08,1/30/22 23:44,UTC-06:00,1/30/22 15:18,1/30/22 16:39,80,Baseball,11.8,656,167,130,4,11,33,45,4,FALSE,,,
1/27/22 23:58,1/29/22 1:17,UTC-06:00,1/28/22 15:56,1/28/22 17:25,88,Activity,11.4,633,173,123,10,15,32,40,0,FALSE,,,
1/27/22 23:58,1/29/22 1:17,UTC-06:00,1/28/22 9:05,1/28/22 9:59,53,Activity,8.3,330,169,130,0,3,48,21,3,FALSE,,,
1/26/22 0:57,1/27/22 0:28,UTC-06:00,1/26/22 15:27,1/26/22 15:51,23,Baseball,9.3,280,178,147,0,1,12,56,29,FALSE,,,
1/25/22 0:03,1/26/22 0:57,UTC-06:00,1/25/22 16:40,1/25/22 18:19,98,Baseball,12.8,808,171,129,0,15,43,37,3,FALSE,,,
